Province_State,Abbreviation,Population,spring_rate,summer_rate,autumn_rate,winter_rate,spring,summer,autumn,winter
District of Columbia,DC,705749,0.000857245,0.000290472,0.000195537,0.000678712,605,205,138,479
Vermont,VT,623989,0.000283659,9.94E-05,0.000341352,0.000733987,177,62,213,458
New Jersey,NJ,8882190,0.001944228,0.000442008,0.000362185,0.001302607,17269,3926,3217,11570
Connecticut,CT,3565287,0.001420643,0.000254117,0.000404736,0.001336498,5065,906,1443,4765
New York,NY,19453561,0.001949463,0.000277224,0.000404913,0.001328754,37924,5393,7877,25849
New Hampshire,NH,1359711,0.000426561,0.000277265,0.000411852,0.001085525,580,377,560,1476
Massachusetts,MA,6892503,0.001305186,0.00036547,0.000432209,0.001398186,8996,2519,2979,9637
Maryland,MD,6045680,0.000788497,0.000363565,0.000439818,0.001135522,4767,2198,2659,6865
California,CA,39512223,0.000502022,0.000402154,0.000452164,0.001193428,19836,15890,17866,47155
Utah,UT,3205958,0.000260453,0.000261388,0.000472558,0.000651287,835,838,1515,2088
Hawaii,HI,1415872,0.000141962,0.000244372,0.000485213,0.000423767,201,346,687,600
Maine,ME,1344212,0.000366014,0.00023657,0.000510336,0.001060101,492,318,686,1425
Washington,WA,7614893,0.000397511,0.000355225,0.000554571,0.000752079,3027,2705,4223,5727
Rhode Island,RI,1059361,0.001126151,0.000353043,0.000577707,0.001586806,1193,374,612,1681
Virginia,VA,8535519,0.000631713,0.000342803,0.000626558,0.001169583,5392,2926,5348,9983
Delaware,DE,973764,0.001012566,0.000441585,0.00064492,0.001314487,986,430,628,1280
Oregon,PA,4217737,0.00038101,0.000387174,0.000684253,0.000766999,1607,1633,2886,3235
Illinois,IL,12671821,0.000717892,0.000421723,0.000688693,0.001442176,9097,5344,8727,18275
Minnesota,MN,5639632,0.000472194,0.000305694,0.000730899,0.00110947,2663,1724,4122,6257
North Carolina,NC,10488084,0.000462144,0.000466815,0.00074618,0.001031647,4847,4896,7826,10820
Missouri,MO,6626371,0.000538455,0.000456509,0.000765427,0.001679652,3568,3025,5072,11130
Pennsylvania,PR,12801989,0.000836745,0.000357601,0.000765818,0.001967429,10712,4578,9804,25187
Wisconsin,WI,5822434,0.000478494,0.000278749,0.00077356,0.00127232,2786,1623,4504,7408
Arizona,AZ,7278717,0.000680477,0.000842594,0.000793684,0.002227453,4953,6133,5777,16213
Alaska,AK,740995,0.000271257,0.000217275,0.000829965,0.000686914,201,161,615,509
Nevada,NV,3080156,0.000724314,0.000762624,0.000835347,0.00154635,2231,2349,2573,4763
Louisiana,LA,4648794,0.000966057,0.001014887,0.000880659,0.00116912,4491,4718,4094,5435
Nebraska,NE,1934408,0.000331884,0.000240901,0.000891746,0.001057688,642,466,1725,2046
Iowa,IA,3155070,0.000525186,0.000367028,0.000892532,0.00160662,1657,1158,2816,5069
New Mexico,NM,2096829,0.000843655,0.000647645,0.000900884,0.001918611,1769,1358,1889,4023
Michigan,MI,9986857,0.001154517,0.000387209,0.000923314,0.0017501,11530,3867,9221,17478
Texas,TX,28995881,0.000436407,0.000659438,0.000929235,0.001191687,12654,19121,26944,34554
Colorado,CO,5758736,0.000449231,0.000264641,0.000938921,0.000800349,2587,1524,5407,4609
Kansas,KS,2913314,0.0005341,0.000282153,0.001016368,0.001618775,1556,822,2961,4716
Ohio,OK,11689100,0.000388225,0.000334756,0.001031474,0.001817077,4538,3913,12057,21240
Indiana,IN,6732219,0.000592078,0.000413385,0.00104854,0.001821539,3986,2783,7059,12263
Tennessee,TN,6829174,0.000474728,0.000519389,0.00109164,0.00219558,3242,3547,7455,14994
South Carolina,SC,5148714,0.000518382,0.000691629,0.001096196,0.001487362,2669,3561,5644,7658
Kentucky,KY,4467673,0.00109923,0.000445422,0.00111445,0.001390881,4911,1990,4979,6214
Mississippi,MS,2976149,0.000586664,0.001092015,0.001136368,0.001670951,1746,3250,3382,4973
Alabama,AL,4903185,0.000662427,0.000649578,0.001179233,0.001791896,3248,3185,5782,8786
Georgia,GA,10617423,0.000778814,0.000678225,0.001203776,0.001335164,8269,7201,12781,14176
Florida,FL,21477737,0.000588516,0.001024968,0.001276764,0.001127586,12640,22014,27422,24218
Idaho,ID,1787065,0.000270835,0.000413527,0.001300456,0.001036336,484,739,2324,1852
South Dakota,SD,884659,0.000348157,0.000256596,0.001316892,0.001674091,308,227,1165,1481
Arkansas,AR,3017804,0.000538802,0.000745907,0.001346675,0.001669757,1626,2251,4064,5039
North Dakota,ND,762062,0.000286066,0.000261134,0.001367343,0.001317478,218,199,1042,1004
Oklahoma,OR,3956971,0.001153155,0.000458431,0.001377063,0.001531727,4563,1814,5449,6061
Wyoming,WY,578759,0.000250536,0.000378396,0.001432375,0.001397818,145,219,829,809
West Virginia,WV,1792147,0.000667356,0.00043858,0.001478673,0.001844715,1196,786,2650,3306
Montana,MT,1068778,0.000452854,0.000357418,0.001501715,0.001104065,484,382,1605,1180